metro,price,minutes,way,provider,fee_percent,rooms,total_area,sector
Akademicheskaia,95000,10,1,1,0,3,120,Academicheskiy
Dmitrovskaia,38000,10,1,1,50,1,34,Butirski
Novye Cheremushki,70000,5,1,1,50,2,60,Cheremyshki
Krasnopresnenskaia,100000,3,1,1,0,3,74,Presnenski
Domodedovskaia,73000,17,1,1,40,3,71,Orehovo-Borisovo Uzhnoe
Taganskaia,60000,10,1,1,50,3,75,Taganski
Sukharevskaia,185000,5,1,1,0,3,79,Krasnoselski
Sukharevskaia,185000,5,1,1,0,3,76,Krasnoselski
Mitino,50000,3,0,1,0,3,85,Mitino
Govorovo,65000,6,1,1,50,2,68,Solncevo
Baumanskaia,80000,13,1,1,50,2,50,Basmanski
Michurinskii prospekt,150000,5,1,1,0,4,130,Ramenki
Khovrino,47000,10,1,1,50,2,55,Hovrino
Planernaia,39000,10,1,1,50,1,33,Severnoe Tushino
Planernaia,35000,15,1,1,50,1,34,Severnoe Tushino
Riazanskii prospekt,40000,5,1,1,50,1,35,Ryazanski
VDNKh,40000,5,0,1,50,1,35,Ostankinski
Medvedkovo,32000,15,1,1,50,1,38,Severnoe Medvedkovo
Medvedkovo,45000,10,1,1,50,2,45,Severnoe Medvedkovo
Medvedkovo,35000,10,1,1,50,1,39,Severnoe Medvedkovo
Khovrino,38000,7,1,1,50,1,33,Hovrino
Babushkinskaia,60000,16,1,1,70,3,60,Babuskinski
Novye Cheremushki,24000,5,1,1,40,1,39,Cheremyshki
Preobrazhenskaia ploshchad,22000,5,1,1,50,1,48,Preobrazhenskoe
Liublino,26000,7,1,1,50,1,46,Lublino
Ulitca 1905 goda,26000,5,1,1,50,1,48,Presnenski
Pionerskaia,80000,5,1,1,50,2,62,Fili-Davidkovo
Skhodnenskaia,37000,15,1,1,50,1,40,Uznoe Tushino
Petrovskii park,30000,7,0,1,50,1,35,Aeroport
Altufevo,165000,20,1,1,0,5,270,Bibirevo
Izmailovskaia,45000,15,1,0,0,2,50,Sokolinaya Gora
Vykhino,43000,10,1,1,50,1,37,Vihino-Julebino
Vykhino,45000,15,1,1,50,1,37,Vihino-Julebino
Molodezhnaia,50000,10,1,1,50,1,35,Kuncevo
Tushinskaia,65000,5,1,1,50,2,70,Pokrovskoe-Streshnevo
Vodnyi stadion,60000,10,1,1,50,2,64,Golovinski
Planernaia,45000,10,1,1,50,1,38,Severnoe Tushino
VDNKh,50000,10,1,1,50,1,41,Ostankinski
Alekseevskaia,50000,3,1,1,50,1,33,Alekseevski
Sviblovo,40000,10,1,1,50,2,38,Sviblovo
Sviblovo,38000,15,1,1,50,1,67,Sviblovo
Rimskaia,55999,7,1,1,99,1,40,Taganski
Okskaia,59999,7,1,1,69,1,26,Ryazanski
Voikovskaia,55000,10,0,0,0,2,55,Voikovski
Rasskazovka,47000,15,1,1,30,1,40,Vnukovskoe
Okhotnyi riad,200000,8,1,1,0,2,70,Tverskoi
Taganskaia,60000,15,1,1,50,2,78,Taganski
Solntcevo,43000,10,1,0,0,1,67,Solncevo
Michurinskii prospekt,90000,10,1,1,50,2,75,Ramenki
Piatnitckoe shosse,40000,15,0,0,0,2,55,Mitino
Piatnitckoe shosse,50000,25,0,1,50,3,87,Mitino
Piatnitckoe shosse,23000,26,0,1,80,1,42,Mitino
Okhotnyi riad,95000,5,1,1,0,2,39,Tverskoi
Semenovskaia,40000,5,1,1,25,1,38,Sokolinaya Gora
Sviblovo,39000,15,1,0,0,2,38,Sviblovo
Liublino,65000,7,1,0,0,3,62,Lublino
Kuzminki,50000,2,1,1,50,1,60,Kuzminki
Sviblovo,35000,6,0,1,50,1,40,Sviblovo
Kaluzhskaia,35000,15,1,1,50,1,34,Obruchevski
Botanicheskii sad,48000,10,1,0,0,2,57,Sviblovo
Babushkinskaia,55000,12,1,1,0,1,32,Babuskinski
Kantemirovskaia,43000,15,1,0,0,2,45,Tcaritcyno
